event_type,schema_version,trusted_action
provider.starting,1,no
provider.ready,1,no
provider.unavailable,1,no
provider.stopped,1,no
provider.crashed,1,no
provider.protocol_error,1,no
provider.unknown_event,1,no
provider.auth.updated,1,no
provider.model_list.updated,1,no
provider.rate_limit.updated,1,no
run.created,1,no
run.started,1,no
run.phase_changed,1,no
run.waiting_for_user,1,no
run.resumed,1,no
run.interrupt_requested,1,no
run.interrupted,1,no
run.completed,1,no
run.failed,1,no
thread.started,1,no
thread.resumed,1,no
turn.started,1,no
message.user,1,no
message.assistant.delta,1,no
message.assistant.completed,1,no
reasoning.summary.delta,1,no
reasoning.summary.completed,1,no
plan.updated,1,no
context.snapshot,1,no
data_boundary.previewed,1,no
data_boundary.confirmed,1,no
evidence.linked,1,no
evidence.stale,1,no
evidence.rejected,1,no
tool.started,1,no
tool.output.delta,1,no
tool.completed,1,no
tool.failed,1,no
command.requested,1,no
command.started,1,no
command.output.delta,1,no
command.completed,1,no
file_change.proposed,1,no
file_change.completed,1,no
diff.updated,1,no
approval.requested,1,no
approval.resolved,1,no
approval.expired,1,no
approval.cancelled,1,no
test.started,1,no
test.completed,1,no
test.failed,1,no
report.started,1,no
report.section_ready,1,no
report.validation_completed,1,no
report.ready,1,no
artifact.exported,1,no
