signal,path,signature,line
event_emitted,src/aura/agent/controller.py,object,24
state_changed,src/aura/agent/controller.py,object,26
error_raised,src/aura/agent/controller.py,str,27
event_ready,src/aura/agent/providers/codex_app_server.py,object,72
status_changed,src/aura/agent/providers/codex_app_server.py,str,74
account_changed,src/aura/agent/providers/codex_app_server.py,object,75
models_changed,src/aura/agent/providers/codex_app_server.py,object,76
login_attempt_changed,src/aura/agent/providers/codex_app_server.py,object,77
diagnostic_ready,src/aura/agent/providers/codex_app_server.py,str,78
started,src/aura/agent/providers/codex_rpc.py,,30
stopped,src/aura/agent/providers/codex_rpc.py,int,32
crashed,src/aura/agent/providers/codex_rpc.py,str,33
state_changed,src/aura/agent/providers/codex_rpc.py,str,34
notification_received,src/aura/agent/providers/codex_rpc.py,"str, object",35
server_request_received,src/aura/agent/providers/codex_rpc.py,"object, str, object",36
protocol_error,src/aura/agent/providers/codex_rpc.py,str,37
stderr_ready,src/aura/agent/providers/codex_rpc.py,str,38
event_ready,src/aura/agent/providers/demo.py,object,21
status_changed,src/aura/agent/providers/demo.py,str,23
text_updated,src/aura/asr/threads.py,str,81
status_updated,src/aura/asr/threads.py,str,82
error_signal,src/aura/asr/threads.py,str,83
finished_signal,src/aura/asr/threads.py,,84
finished_signal,src/aura/asr/threads.py,object,183
error_signal,src/aura/asr/threads.py,str,185
status_signal,src/aura/asr/threads.py,str,186
text_updated,src/aura/asr/threads.py,str,233
status_updated,src/aura/asr/threads.py,str,234
telemetry_updated,src/aura/asr/threads.py,object,235
waveform_signal,src/aura/audio/capture.py,np.ndarray,389
finished_signal,src/aura/audio/capture.py,str,390
status_signal,src/aura/audio/capture.py,str,391
log_signal,src/aura/audio/splitter.py,str,7
progress_signal,src/aura/audio/splitter.py,int,8
finished_signal,src/aura/audio/splitter.py,,9
error_signal,src/aura/audio/splitter.py,str,10
summary_ready,src/aura/llm/threads.py,str,18
status_updated,src/aura/llm/threads.py,str,19
error_signal,src/aura/llm/threads.py,str,20
status_updated,src/aura/llm/threads.py,str,46
ready,src/aura/llm/threads.py,,47
model_missing,src/aura/llm/threads.py,str,48
failed,src/aura/llm/threads.py,str,49
server_process_started,src/aura/llm/threads.py,object,50
status_updated,src/aura/llm/threads.py,str,95
pulled,src/aura/llm/threads.py,,96
failed,src/aura/llm/threads.py,str,97
found_update,src/aura/system/update_checker.py,"str, str",25
source_requested,src/aura/ui/summary_claims_table.py,str,22
seek_requested,src/aura/ui/transcript_review_table.py,int,42
review_changed,src/aura/ui/transcript_review_table.py,object,44
