signal,path,signature,line
event_emitted,src/aura/agent/controller.py,object,24
state_changed,src/aura/agent/controller.py,object,26
error_raised,src/aura/agent/controller.py,str,27
event_ready,src/aura/agent/providers/codex_app_server.py,object,93
status_changed,src/aura/agent/providers/codex_app_server.py,str,95
account_changed,src/aura/agent/providers/codex_app_server.py,object,96
models_changed,src/aura/agent/providers/codex_app_server.py,object,97
login_attempt_changed,src/aura/agent/providers/codex_app_server.py,object,98
diagnostic_ready,src/aura/agent/providers/codex_app_server.py,str,99
started,src/aura/agent/providers/codex_rpc.py,,33
stopped,src/aura/agent/providers/codex_rpc.py,int,35
crashed,src/aura/agent/providers/codex_rpc.py,str,36
state_changed,src/aura/agent/providers/codex_rpc.py,str,37
notification_received,src/aura/agent/providers/codex_rpc.py,"str, object",38
server_request_received,src/aura/agent/providers/codex_rpc.py,"object, str, object",39
protocol_error,src/aura/agent/providers/codex_rpc.py,str,40
stderr_ready,src/aura/agent/providers/codex_rpc.py,str,41
event_ready,src/aura/agent/providers/demo.py,object,21
status_changed,src/aura/agent/providers/demo.py,str,23
text_updated,src/aura/asr/threads.py,str,81
status_updated,src/aura/asr/threads.py,str,82
error_signal,src/aura/asr/threads.py,str,83
finished_signal,src/aura/asr/threads.py,,84
finished_signal,src/aura/asr/threads.py,object,183
error_signal,src/aura/asr/threads.py,str,185
status_signal,src/aura/asr/threads.py,str,186
text_updated,src/aura/asr/threads.py,str,233
status_updated,src/aura/asr/threads.py,str,234
telemetry_updated,src/aura/asr/threads.py,object,235
waveform_signal,src/aura/audio/capture.py,np.ndarray,389
finished_signal,src/aura/audio/capture.py,str,390
status_signal,src/aura/audio/capture.py,str,391
log_signal,src/aura/audio/splitter.py,str,7
progress_signal,src/aura/audio/splitter.py,int,8
finished_signal,src/aura/audio/splitter.py,,9
error_signal,src/aura/audio/splitter.py,str,10
summary_ready,src/aura/llm/threads.py,str,18
status_updated,src/aura/llm/threads.py,str,19
error_signal,src/aura/llm/threads.py,str,20
status_updated,src/aura/llm/threads.py,str,46
ready,src/aura/llm/threads.py,,47
model_missing,src/aura/llm/threads.py,str,48
failed,src/aura/llm/threads.py,str,49
server_process_started,src/aura/llm/threads.py,object,50
status_updated,src/aura/llm/threads.py,str,95
pulled,src/aura/llm/threads.py,,96
failed,src/aura/llm/threads.py,str,97
found_update,src/aura/system/update_checker.py,"str, str",25
new_task_requested,src/aura/ui/agent_workspace_components.py,,27
control_panel_requested,src/aura/ui/agent_workspace_components.py,,28
task_selected,src/aura/ui/agent_workspace_components.py,str,29
artifact_selected,src/aura/ui/agent_workspace_components.py,str,120
add_repository_requested,src/aura/ui/agent_workspace_components.py,,205
remove_repository_requested,src/aura/ui/agent_workspace_components.py,,206
support_bundle_requested,src/aura/ui/agent_workspace_components.py,,207
cleanup_preview_requested,src/aura/ui/agent_workspace_components.py,,208
import_configuration_requested,src/aura/ui/agent_workspace_components.py,,209
export_configuration_requested,src/aura/ui/agent_workspace_components.py,,210
action_requested,src/aura/ui/agent_workspace_components.py,"str, str",349
source_requested,src/aura/ui/summary_claims_table.py,str,22
seek_requested,src/aura/ui/transcript_review_table.py,int,42
review_changed,src/aura/ui/transcript_review_table.py,object,44
