component,module,line,kind
AuditEntry,scripts.audit_fuzzy_corrections,37,class
Case,scripts.benchmark_aura_meetily_asr,24,class
CaseCheck,scripts.check_denoise_eval_workspace,11,class
WorkspaceCheck,scripts.check_denoise_eval_workspace,29,class
Candidate,scripts.discover_denoise_eval_candidates,25,class
EvalCase,scripts.evaluate_denoise_backends,32,class
BackendResult,scripts.evaluate_denoise_backends,40,class
CategoryRecommendation,scripts.evaluate_denoise_backends,57,class
ArtifactSet,scripts.evaluate_summary_impact,29,class
PromotionCase,scripts.gate_denoise_default_promotion,9,class
PromotionGate,scripts.gate_denoise_default_promotion,22,class
SourceCandidate,scripts.generate_paired_summary_artifacts,29,class
RunnerConfig,scripts.run_gemma4_e4b_summary_impact,91,class
OllamaGemmaRunner,scripts.run_gemma4_e4b_summary_impact,271,class
Correction,src.asr_postprocess.fuzzy_corrector,32,class
GlossaryEntry,src.asr_postprocess.fuzzy_corrector,55,class
CorrectionResult,src.asr_postprocess.fuzzy_corrector,62,class
RegisteredAction,src.aura.agent.action_registry,11,class
ActionRegistry,src.aura.agent.action_registry,19,class
AgentConfig,src.aura.agent.config,27,class
AgentUiEvent,src.aura.agent.contracts,76,class
ProviderModel,src.aura.agent.contracts,193,class
ProviderEvent,src.aura.agent.contracts,201,class
WorkItemSource,src.aura.agent.contracts,221,class
OperatingMode,src.aura.agent.contracts,226,class
WorkItemState,src.aura.agent.contracts,233,class
AgentRunState,src.aura.agent.contracts,245,class
PublicationState,src.aura.agent.contracts,267,class
ActorIdentity,src.aura.agent.contracts,471,class
RepositoryProfile,src.aura.agent.contracts,483,class
WorkflowTemplate,src.aura.agent.contracts,511,class
AuraEvidenceContext,src.aura.agent.contracts,533,class
WorkItem,src.aura.agent.contracts,562,class
AgentRun,src.aura.agent.contracts,599,class
EngineeringTaskLink,src.aura.agent.contracts,626,class
RepositorySessionGrant,src.aura.agent.contracts,658,class
Artifact,src.aura.agent.contracts,702,class
AgentRunController,src.aura.agent.controller,22,class
EvidenceSelection,src.aura.agent.evidence,28,class
AuraEvidenceAdapter,src.aura.agent.evidence,74,class
ModelResolution,src.aura.agent.model_profile,13,class
AgentRunStore,src.aura.agent.persistence,93,class
AgentCatalog,src.aura.agent.persistence,318,class
AgentStorageManager,src.aura.agent.persistence,1301,class
_Transaction,src.aura.agent.persistence,1281,class
PathPolicy,src.aura.agent.policy,125,class
PolicyDecision,src.aura.agent.policy,194,class
CommandPolicy,src.aura.agent.policy,202,class
TransferPreview,src.aura.agent.policy,347,class
RiskClass,src.aura.agent.policy,431,class
DataClass,src.aura.agent.policy,446,class
CommandRequest,src.aura.agent.policy,458,class
RepositoryPolicy,src.aura.agent.policy,477,class
PolicyContext,src.aura.agent.policy,492,class
