signal,path,signature,line
event_emitted,src/aura/agent/controller.py,object,24
state_changed,src/aura/agent/controller.py,object,26
error_raised,src/aura/agent/controller.py,str,27
event_ready,src/aura/agent/providers/codex_app_server.py,object,108
status_changed,src/aura/agent/providers/codex_app_server.py,str,110
account_changed,src/aura/agent/providers/codex_app_server.py,object,111
models_changed,src/aura/agent/providers/codex_app_server.py,object,112
login_attempt_changed,src/aura/agent/providers/codex_app_server.py,object,113
diagnostic_ready,src/aura/agent/providers/codex_app_server.py,str,114
started,src/aura/agent/providers/codex_rpc.py,,33
stopped,src/aura/agent/providers/codex_rpc.py,int,35
crashed,src/aura/agent/providers/codex_rpc.py,str,36
state_changed,src/aura/agent/providers/codex_rpc.py,str,37
notification_received,src/aura/agent/providers/codex_rpc.py,"str, object",38
server_request_received,src/aura/agent/providers/codex_rpc.py,"object, str, object",39
protocol_error,src/aura/agent/providers/codex_rpc.py,str,40
stderr_ready,src/aura/agent/providers/codex_rpc.py,str,41
event_ready,src/aura/agent/providers/demo.py,object,21
status_changed,src/aura/agent/providers/demo.py,str,23
text_updated,src/aura/asr/threads.py,str,81
status_updated,src/aura/asr/threads.py,str,82
error_signal,src/aura/asr/threads.py,str,83
finished_signal,src/aura/asr/threads.py,,84
finished_signal,src/aura/asr/threads.py,object,183
error_signal,src/aura/asr/threads.py,str,185
status_signal,src/aura/asr/threads.py,str,186
text_updated,src/aura/asr/threads.py,str,233
status_updated,src/aura/asr/threads.py,str,234
telemetry_updated,src/aura/asr/threads.py,object,235
waveform_signal,src/aura/audio/capture.py,np.ndarray,389
finished_signal,src/aura/audio/capture.py,str,390
status_signal,src/aura/audio/capture.py,str,391
log_signal,src/aura/audio/splitter.py,str,7
progress_signal,src/aura/audio/splitter.py,int,8
finished_signal,src/aura/audio/splitter.py,,9
error_signal,src/aura/audio/splitter.py,str,10
summary_ready,src/aura/llm/threads.py,str,18
status_updated,src/aura/llm/threads.py,str,19
error_signal,src/aura/llm/threads.py,str,20
status_updated,src/aura/llm/threads.py,str,46
ready,src/aura/llm/threads.py,,47
model_missing,src/aura/llm/threads.py,str,48
failed,src/aura/llm/threads.py,str,49
server_process_started,src/aura/llm/threads.py,object,50
status_updated,src/aura/llm/threads.py,str,95
pulled,src/aura/llm/threads.py,,96
failed,src/aura/llm/threads.py,str,97
found_update,src/aura/system/update_checker.py,"str, str",25
submit_requested,src/aura/ui/agent_workspace/agent_composer.py,,24
stop_requested,src/aura/ui/agent_workspace/agent_composer.py,,25
attach_evidence_requested,src/aura/ui/agent_workspace/agent_composer.py,,26
attach_file_requested,src/aura/ui/agent_workspace/agent_composer.py,,27
attach_artifact_requested,src/aura/ui/agent_workspace/agent_composer.py,,28
clear_context_requested,src/aura/ui/agent_workspace/agent_composer.py,,29
context_preview_requested,src/aura/ui/agent_workspace/agent_composer.py,int,30
context_remove_requested,src/aura/ui/agent_workspace/agent_composer.py,int,31
suggestion_requested,src/aura/ui/agent_workspace/agent_composer.py,str,32
boundary_review_requested,src/aura/ui/agent_workspace/agent_composer.py,,33
view_state_changed,src/aura/ui/agent_workspace/application.py,object,82
artifact_selected,src/aura/ui/agent_workspace/artifact_inspector.py,str,19
submit_requested,src/aura/ui/agent_workspace/composer.py,,9
add_repository_requested,src/aura/ui/agent_workspace/settings.py,,22
remove_repository_requested,src/aura/ui/agent_workspace/settings.py,,23
support_bundle_requested,src/aura/ui/agent_workspace/settings.py,,24
cleanup_preview_requested,src/aura/ui/agent_workspace/settings.py,,25
import_configuration_requested,src/aura/ui/agent_workspace/settings.py,,26
export_configuration_requested,src/aura/ui/agent_workspace/settings.py,,27
new_task_requested,src/aura/ui/agent_workspace/sidebar_view.py,,81
settings_requested,src/aura/ui/agent_workspace/sidebar_view.py,,82
thread_selected,src/aura/ui/agent_workspace/sidebar_view.py,str,83
thread_action_requested,src/aura/ui/agent_workspace/sidebar_view.py,"str, str",84
collapsed_changed,src/aura/ui/agent_workspace/sidebar_view.py,bool,85
new_task_requested,src/aura/ui/agent_workspace_components.py,,27
control_panel_requested,src/aura/ui/agent_workspace_components.py,,28
task_selected,src/aura/ui/agent_workspace_components.py,str,29
artifact_selected,src/aura/ui/agent_workspace_components.py,str,120
add_repository_requested,src/aura/ui/agent_workspace_components.py,,205
remove_repository_requested,src/aura/ui/agent_workspace_components.py,,206
support_bundle_requested,src/aura/ui/agent_workspace_components.py,,207
cleanup_preview_requested,src/aura/ui/agent_workspace_components.py,,208
import_configuration_requested,src/aura/ui/agent_workspace_components.py,,209
export_configuration_requested,src/aura/ui/agent_workspace_components.py,,210
action_requested,src/aura/ui/agent_workspace_components.py,"str, str",349
source_requested,src/aura/ui/summary_claims_table.py,str,22
seek_requested,src/aura/ui/transcript_review_table.py,int,42
review_changed,src/aura/ui/transcript_review_table.py,object,44
