interface,module,line,kind
repo_relative,scripts.audit_fuzzy_corrections,65,function
load_alias_pairs,scripts.audit_fuzzy_corrections,72,function
high_risk_reasons,scripts.audit_fuzzy_corrections,88,function
discover_transcripts,scripts.audit_fuzzy_corrections,102,function
generate_correction_logs,scripts.audit_fuzzy_corrections,118,function
discover_correction_logs,scripts.audit_fuzzy_corrections,144,function
read_log_entries,scripts.audit_fuzzy_corrections,156,function
build_entries,scripts.audit_fuzzy_corrections,169,function
score_distribution,scripts.audit_fuzzy_corrections,199,function
top_changes,scripts.audit_fuzzy_corrections,215,function
entry_rows,scripts.audit_fuzzy_corrections,223,function
build_report,scripts.audit_fuzzy_corrections,227,function
markdown_table,scripts.audit_fuzzy_corrections,282,function
render_markdown,scripts.audit_fuzzy_corrections,292,function
write_reports,scripts.audit_fuzzy_corrections,414,function
parse_args,scripts.audit_fuzzy_corrections,421,function
main,scripts.audit_fuzzy_corrections,435,function
to_json,scripts.audit_fuzzy_corrections,49,function
read_manifest,scripts.benchmark_aura_meetily_asr,34,function
normalize,scripts.benchmark_aura_meetily_asr,44,function
edit_distance,scripts.benchmark_aura_meetily_asr,48,function
cer,scripts.benchmark_aura_meetily_asr,64,function
audio_duration,scripts.benchmark_aura_meetily_asr,69,function
append_jsonl,scripts.benchmark_aura_meetily_asr,74,function
gpu_snapshot,scripts.benchmark_aura_meetily_asr,79,function
cuda_architecture,scripts.benchmark_aura_meetily_asr,89,function
monitor_gpu,scripts.benchmark_aura_meetily_asr,99,function
run_aura,scripts.benchmark_aura_meetily_asr,114,function
run_meetily,scripts.benchmark_aura_meetily_asr,184,function
write_reports,scripts.benchmark_aura_meetily_asr,297,function
main,scripts.benchmark_aura_meetily_asr,363,function
load_audit_report,scripts.build_fuzzy_manual_review,21,function
build_manual_review_rows,scripts.build_fuzzy_manual_review,59,function
write_queue_csv,scripts.build_fuzzy_manual_review,113,function
build_summary,scripts.build_fuzzy_manual_review,121,function
write_summary_json,scripts.build_fuzzy_manual_review,142,function
render_guide,scripts.build_fuzzy_manual_review,147,function
write_guide,scripts.build_fuzzy_manual_review,194,function
build_manual_review_package,scripts.build_fuzzy_manual_review,199,function
parse_args,scripts.build_fuzzy_manual_review,214,function
main,scripts.build_fuzzy_manual_review,223,function
normalize_version,scripts.bump_version,17,function
increment_version,scripts.bump_version,26,function
read_current_version,scripts.bump_version,37,function
normalize_release_date,scripts.bump_version,45,function
replace_once,scripts.bump_version,52,function
update_file,scripts.bump_version,59,function
update_files,scripts.bump_version,71,function
main,scripts.bump_version,120,function
main,scripts.capture_agent_transfer_review_screenshots,270,function
spin_until,scripts.capture_agent_workspace_screenshot,34,function
prepare_state,scripts.capture_agent_workspace_screenshot,43,function
main,scripts.capture_agent_workspace_screenshot,112,function
read_text,scripts.check_denoise_eval_workspace,40,function
count_rare_terms,scripts.check_denoise_eval_workspace,46,function
probe_duration_seconds,scripts.check_denoise_eval_workspace,56,function
check_case,scripts.check_denoise_eval_workspace,80,function
discover_case_dirs,scripts.check_denoise_eval_workspace,124,function
check_workspace,scripts.check_denoise_eval_workspace,130,function
render_markdown,scripts.check_denoise_eval_workspace,162,function
parse_args,scripts.check_denoise_eval_workspace,191,function
main,scripts.check_denoise_eval_workspace,202,function
ready,scripts.check_denoise_eval_workspace,24,function
shell_quote,scripts.discover_denoise_eval_candidates,35,function
probe_duration_seconds,scripts.discover_denoise_eval_candidates,40,function
read_text_length,scripts.discover_denoise_eval_candidates,64,function
transcript_candidates_for_audio,scripts.discover_denoise_eval_candidates,71,function
best_transcript_for_audio,scripts.discover_denoise_eval_candidates,95,function
suggest_category,scripts.discover_denoise_eval_candidates,122,function
discover_audio_files,scripts.discover_denoise_eval_candidates,130,function
build_prepare_command,scripts.discover_denoise_eval_candidates,136,function
discover_candidates,scripts.discover_denoise_eval_candidates,170,function
render_markdown,scripts.discover_denoise_eval_candidates,235,function
write_outputs,scripts.discover_denoise_eval_candidates,262,function
parse_args,scripts.discover_denoise_eval_candidates,271,function
main,scripts.discover_denoise_eval_candidates,289,function
rank,scripts.discover_denoise_eval_candidates,101,function
normalize_metric_text,scripts.evaluate_denoise_backends,66,function
levenshtein_distance,scripts.evaluate_denoise_backends,70,function
character_error_rate,scripts.evaluate_denoise_backends,83,function
word_error_rate,scripts.evaluate_denoise_backends,91,function
rare_term_report,scripts.evaluate_denoise_backends,99,function
rare_term_hit_rate,scripts.evaluate_denoise_backends,114,function
read_optional_text,scripts.evaluate_denoise_backends,123,function
read_rare_terms,scripts.evaluate_denoise_backends,129,function
discover_eval_cases,scripts.evaluate_denoise_backends,140,function
ensure_supported_backends,scripts.evaluate_denoise_backends,155,function
meeting_distance_mode_for_backend,scripts.evaluate_denoise_backends,162,function
process_off,scripts.evaluate_denoise_backends,174,function
process_noisereduce,scripts.evaluate_denoise_backends,179,function
process_deepfilternet,scripts.evaluate_denoise_backends,186,function
process_clearvoice,scripts.evaluate_denoise_backends,193,function
process_wpe,scripts.evaluate_denoise_backends,200,function
process_backend,scripts.evaluate_denoise_backends,208,function
transcribe_audio,scripts.evaluate_denoise_backends,225,function
evaluate_case_backend,scripts.evaluate_denoise_backends,241,function
recommend_backends_by_category,scripts.evaluate_denoise_backends,311,function
render_markdown,scripts.evaluate_denoise_backends,344,function
write_reports,scripts.evaluate_denoise_backends,386,function
parse_args,scripts.evaluate_denoise_backends,402,function
main,scripts.evaluate_denoise_backends,415,function
read_json,scripts.evaluate_g4e4b_pipeline_validity,30,function
sha256_file,scripts.evaluate_g4e4b_pipeline_validity,34,function
file_signature,scripts.evaluate_g4e4b_pipeline_validity,42,function
resolve_manifest_path,scripts.evaluate_g4e4b_pipeline_validity,48,function
context_rows,scripts.evaluate_g4e4b_pipeline_validity,53,function
manifest_by_file_id,scripts.evaluate_g4e4b_pipeline_validity,58,function
transcript_pair_status,scripts.evaluate_g4e4b_pipeline_validity,62,function
build_report,scripts.evaluate_g4e4b_pipeline_validity,89,function
render_markdown,scripts.evaluate_g4e4b_pipeline_validity,142,function
write_report,scripts.evaluate_g4e4b_pipeline_validity,181,function
parse_args,scripts.evaluate_g4e4b_pipeline_validity,188,function
main,scripts.evaluate_g4e4b_pipeline_validity,200,function
repo_relative,scripts.evaluate_summary_impact,38,function
is_excluded,scripts.evaluate_summary_impact,45,function
read_text,scripts.evaluate_summary_impact,49,function
read_json,scripts.evaluate_summary_impact,55,function
normalize_summary_text,scripts.evaluate_summary_impact,59,function
summary_candidate_paths,scripts.evaluate_summary_impact,65,function
first_existing,scripts.evaluate_summary_impact,87,function
discover_artifact_sets,scripts.evaluate_summary_impact,94,function
load_domain_terms,scripts.evaluate_summary_impact,123,function
term_present,scripts.evaluate_summary_impact,133,function
terms_in_text,scripts.evaluate_summary_impact,141,function
read_correction_entries,scripts.evaluate_summary_impact,148,function
correction_term_evidence,scripts.evaluate_summary_impact,158,function
compare_artifact_set,scripts.evaluate_summary_impact,178,function
aggregate_rows,scripts.evaluate_summary_impact,243,function
build_report,scripts.evaluate_summary_impact,266,function
markdown_table,scripts.evaluate_summary_impact,281,function
render_markdown,scripts.evaluate_summary_impact,290,function
write_reports,scripts.evaluate_summary_impact,350,function
parse_args,scripts.evaluate_summary_impact,357,function
main,scripts.evaluate_summary_impact,366,function
rare_hit_rate,scripts.gate_denoise_default_promotion,37,function
load_results,scripts.gate_denoise_default_promotion,46,function
result_has_metrics,scripts.gate_denoise_default_promotion,53,function
average,scripts.gate_denoise_default_promotion,59,function
evaluate_promotion_gate,scripts.gate_denoise_default_promotion,71,function
render_markdown,scripts.gate_denoise_default_promotion,198,function
parse_args,scripts.gate_denoise_default_promotion,239,function
main,scripts.gate_denoise_default_promotion,252,function
read_text,scripts.generate_meeting_summary,23,function
transcript_from_json_fixture,scripts.generate_meeting_summary,27,function
load_transcript,scripts.generate_meeting_summary,35,function
dry_run_summary,scripts.generate_meeting_summary,43,function
write_outputs,scripts.generate_meeting_summary,85,function
parse_args,scripts.generate_meeting_summary,94,function
main,scripts.generate_meeting_summary,103,function
repo_relative,scripts.generate_paired_summary_artifacts,45,function
load_config,scripts.generate_paired_summary_artifacts,52,function
sample_config_value,scripts.generate_paired_summary_artifacts,61,function
read_log,scripts.generate_paired_summary_artifacts,68,function
normalize_entry,scripts.generate_paired_summary_artifacts,81,function
discover_candidates,scripts.generate_paired_summary_artifacts,92,function
clean_slug,scripts.generate_paired_summary_artifacts,115,function
unique_terms,scripts.generate_paired_summary_artifacts,120,function
sanitized_log_entries,scripts.generate_paired_summary_artifacts,124,function
write_sample_artifacts,scripts.generate_paired_summary_artifacts,142,function
build_manifest,scripts.generate_paired_summary_artifacts,192,function
generate_samples,scripts.generate_paired_summary_artifacts,213,function
parse_args,scripts.generate_paired_summary_artifacts,232,function
