signal,path,signature,line
event_emitted,src/aura/agent/controller.py,object,24
state_changed,src/aura/agent/controller.py,object,26
error_raised,src/aura/agent/controller.py,str,27
event_ready,src/aura/agent/providers/codex_app_server.py,object,137
status_changed,src/aura/agent/providers/codex_app_server.py,str,139
account_changed,src/aura/agent/providers/codex_app_server.py,object,140
models_changed,src/aura/agent/providers/codex_app_server.py,object,141
login_attempt_changed,src/aura/agent/providers/codex_app_server.py,object,142
diagnostic_ready,src/aura/agent/providers/codex_app_server.py,str,143
started,src/aura/agent/providers/codex_rpc.py,,33
stopped,src/aura/agent/providers/codex_rpc.py,int,35
crashed,src/aura/agent/providers/codex_rpc.py,str,36
state_changed,src/aura/agent/providers/codex_rpc.py,str,37
notification_received,src/aura/agent/providers/codex_rpc.py,"str, object",38
server_request_received,src/aura/agent/providers/codex_rpc.py,"object, str, object",39
protocol_error,src/aura/agent/providers/codex_rpc.py,str,40
stderr_ready,src/aura/agent/providers/codex_rpc.py,str,41
event_ready,src/aura/agent/providers/demo.py,object,21
status_changed,src/aura/agent/providers/demo.py,str,23
text_updated,src/aura/asr/threads.py,str,81
status_updated,src/aura/asr/threads.py,str,82
error_signal,src/aura/asr/threads.py,str,83
finished_signal,src/aura/asr/threads.py,,84
finished_signal,src/aura/asr/threads.py,object,183
error_signal,src/aura/asr/threads.py,str,185
status_signal,src/aura/asr/threads.py,str,186
text_updated,src/aura/asr/threads.py,str,233
status_updated,src/aura/asr/threads.py,str,234
telemetry_updated,src/aura/asr/threads.py,object,235
waveform_signal,src/aura/audio/capture.py,np.ndarray,389
finished_signal,src/aura/audio/capture.py,str,390
status_signal,src/aura/audio/capture.py,str,391
log_signal,src/aura/audio/splitter.py,str,7
progress_signal,src/aura/audio/splitter.py,int,8
finished_signal,src/aura/audio/splitter.py,,9
error_signal,src/aura/audio/splitter.py,str,10
summary_ready,src/aura/llm/threads.py,str,18
status_updated,src/aura/llm/threads.py,str,19
error_signal,src/aura/llm/threads.py,str,20
status_updated,src/aura/llm/threads.py,str,46
ready,src/aura/llm/threads.py,,47
model_missing,src/aura/llm/threads.py,str,48
failed,src/aura/llm/threads.py,str,49
server_process_started,src/aura/llm/threads.py,object,50
status_updated,src/aura/llm/threads.py,str,95
pulled,src/aura/llm/threads.py,,96
failed,src/aura/llm/threads.py,str,97
found_update,src/aura/system/update_checker.py,"str, str",25
submit_requested,src/aura/ui/agent_workspace/agent_composer.py,,27
stop_requested,src/aura/ui/agent_workspace/agent_composer.py,,28
attach_evidence_requested,src/aura/ui/agent_workspace/agent_composer.py,,29
attach_file_requested,src/aura/ui/agent_workspace/agent_composer.py,,30
attach_artifact_requested,src/aura/ui/agent_workspace/agent_composer.py,,31
clear_context_requested,src/aura/ui/agent_workspace/agent_composer.py,,32
context_preview_requested,src/aura/ui/agent_workspace/agent_composer.py,int,33
context_remove_requested,src/aura/ui/agent_workspace/agent_composer.py,int,34
suggestion_requested,src/aura/ui/agent_workspace/agent_composer.py,str,35
boundary_review_requested,src/aura/ui/agent_workspace/agent_composer.py,,36
view_state_changed,src/aura/ui/agent_workspace/application.py,object,83
artifact_selected,src/aura/ui/agent_workspace/artifact_inspector.py,str,19
submit_requested,src/aura/ui/agent_workspace/composer.py,,9
add_repository_requested,src/aura/ui/agent_workspace/settings.py,,24
remove_repository_requested,src/aura/ui/agent_workspace/settings.py,,25
support_bundle_requested,src/aura/ui/agent_workspace/settings.py,,26
cleanup_preview_requested,src/aura/ui/agent_workspace/settings.py,,27
import_configuration_requested,src/aura/ui/agent_workspace/settings.py,,28
export_configuration_requested,src/aura/ui/agent_workspace/settings.py,,29
new_task_requested,src/aura/ui/agent_workspace/sidebar_view.py,,86
settings_requested,src/aura/ui/agent_workspace/sidebar_view.py,,87
thread_selected,src/aura/ui/agent_workspace/sidebar_view.py,str,88
thread_action_requested,src/aura/ui/agent_workspace/sidebar_view.py,"str, str",89
collapsed_changed,src/aura/ui/agent_workspace/sidebar_view.py,bool,90
external_link_requested,src/aura/ui/agent_workspace/timeline_view.py,"str, str",302
new_task_requested,src/aura/ui/agent_workspace_components.py,,28
control_panel_requested,src/aura/ui/agent_workspace_components.py,,29
task_selected,src/aura/ui/agent_workspace_components.py,str,30
artifact_selected,src/aura/ui/agent_workspace_components.py,str,126
add_repository_requested,src/aura/ui/agent_workspace_components.py,,212
remove_repository_requested,src/aura/ui/agent_workspace_components.py,,213
support_bundle_requested,src/aura/ui/agent_workspace_components.py,,214
cleanup_preview_requested,src/aura/ui/agent_workspace_components.py,,215
import_configuration_requested,src/aura/ui/agent_workspace_components.py,,216
export_configuration_requested,src/aura/ui/agent_workspace_components.py,,217
action_requested,src/aura/ui/agent_workspace_components.py,"str, str",356
source_requested,src/aura/ui/summary_claims_table.py,str,22
seek_requested,src/aura/ui/transcript_review_table.py,int,42
review_changed,src/aura/ui/transcript_review_table.py,object,44
