source_file,category,original,corrected,score,watch_flag,review_label,review_note
260416_2157__with_Prof_Wu_Tomi/260416_2157__with_Prof_Wu_Tomi (GPT).txt,organizations,陽明交大,國立陽明交通大學,100.0,alias,,
260416_2157__with_Prof_Wu_Tomi/260416_2157__with_Prof_Wu_Tomi.txt,organizations,智慧財產,智慧財產局,88.89,score_85_to_94_99,,
260416_2157__with_Prof_Wu_Tomi/260416_2157__with_Prof_Wu_Tomi.txt,people,jason,Jason,100.0,people;high_risk:people,,
260416_2157__with_Prof_Wu_Tomi/260416_2157__with_Prof_Wu_Tomi.txt,technical_terms,api,API,100.0,alias,,
260416_2157__with_Prof_Wu_Tomi/260416_2157__with_Prof_Wu_Tomi.txt,technical_terms,fda,FDA,100.0,alias,,
260422_1415_114-2 生成式AI應用系統與工程 W9_1150422/260422_1415_114-2 生成式AI應用系統與工程 W9_1150422.txt,technical_terms,api,API,100.0,alias,,
260512_1302_record/260512_1302_record (minute).txt,people,jason,Jason,100.0,people;high_risk:people,,
260512_1302_record/260512_1302_record (minute).txt,technical_terms,kiosk,Kiosk,100.0,alias,,
260512_1302_record/260512_1302_record.txt,people,jason,Jason,100.0,people;high_risk:people,,
260512_1302_record/260512_1302_record.txt,technical_terms,kiosk,Kiosk,100.0,alias,,
260512_2224_record/260512_2224_record.txt,technical_terms,5.0k,510(k),100.0,alias;watch_term;high_risk:number,,
260512_2224_record/260512_2224_record.txt,technical_terms,510k,510(k),100.0,alias;watch_term;high_risk:number,,
260515_1259_kioskDiscussion/260515_1259_kioskDiscussion.txt,technical_terms,kiosk,Kiosk,100.0,alias,,
260515_1259_kioskDiscussion/transcript_260515_1259_kioskDiscussion.txt,technical_terms,kiosk,Kiosk,100.0,alias,,
260518_0902_lab_sync/260518_0902_lab_sync.txt,medical_terms,SAMD,SaMD,100.0,medical_terms;high_risk:medical_terms,,
260518_0902_lab_sync/260518_0902_lab_sync.txt,organizations,志德灣,智德萬,100.0,alias,,
260518_0902_lab_sync/260518_0902_lab_sync.txt,organizations,陽明院,陽明醫院,85.71,score_85_to_94_99,,
260518_0902_lab_sync/260518_0902_lab_sync.txt,people,jason,Jason,100.0,people;high_risk:people,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,organizations,志德灣,智德萬,100.0,alias,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,people,jason,Jason,100.0,people;high_risk:people,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,technical_terms,510k,510(k),100.0,alias;watch_term;high_risk:number,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,technical_terms,api,API,100.0,alias,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,technical_terms,irb,IRB,100.0,alias;watch_term,,
260518_0902_lab_sync/transcript_260518_0902_lab_sync.txt,technical_terms,tfda,TFDA,100.0,alias,,
260519_1042_record/260519_1042_record_raw (gemini).txt,organizations,信義的院外門診部,信義院外門診部,93.33,score_85_to_94_99,,
260519_1042_record/260519_1042_record_raw (gemini).txt,organizations,個信義院外門診,信義院外門診部,85.71,score_85_to_94_99,,
260519_1042_record/260519_1042_record_raw (gemini).txt,organizations,陽明交大,國立陽明交通大學,100.0,alias,,
260520_1606_114-2 生成式AI應用系統與工程 W13_1150520/260520_1606_114-2 生成式AI應用系統與工程 W13_1150520_final.txt,people,person a,Person A,100.0,people;high_risk:people,,
260520_1606_114-2 生成式AI應用系統與工程 W13_1150520/260520_1606_114-2 生成式AI應用系統與工程 W13_1150520_raw.txt,people,person a,Person A,100.0,people;high_risk:people,,
260520_2104_114-2 生成式AI應用系統與工程 W13_1150520/260520_2104_114-2 生成式AI應用系統與工程 W13_1150520_final.txt,people,person a,Person A,100.0,people;high_risk:people,,
260520_2104_114-2 生成式AI應用系統與工程 W13_1150520/260520_2104_114-2 生成式AI應用系統與工程 W13_1150520_raw.txt,people,person a,Person A,100.0,people;high_risk:people,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,organizations,innoVAX,InnoVEX,85.71,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,organizations,inovex,InnoVEX,92.31,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,people,person a,Person A,100.0,people;high_risk:people,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,technical_terms,detector,Detector+,94.12,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,technical_terms,fda,FDA,100.0,alias,,
260525_0858_lab_sync/260525_0858_lab_sync_final.txt,technical_terms,irb,IRB,100.0,alias;watch_term,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,organizations,innoVAX,InnoVEX,85.71,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,organizations,inovex,InnoVEX,92.31,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,people,person a,Person A,100.0,people;high_risk:people,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,technical_terms,detector,Detector+,94.12,score_85_to_94_99,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,technical_terms,fda,FDA,100.0,alias,,
260525_0858_lab_sync/260525_0858_lab_sync_raw.txt,technical_terms,irb,IRB,100.0,alias;watch_term,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_final.txt,people,jason,Jason,100.0,people;high_risk:people,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_final.txt,technical_terms,detector,Detector+,94.12,score_85_to_94_99,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_final.txt,technical_terms,fda,FDA,100.0,alias,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_final.txt,technical_terms,tfda,TFDA,100.0,alias,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_raw.txt,people,jason,Jason,100.0,people;high_risk:people,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_raw.txt,technical_terms,detector,Detector+,94.12,score_85_to_94_99,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_raw.txt,technical_terms,fda,FDA,100.0,alias,,
260525_0858_lab_sync/transcript_260525_0858_lab_sync_raw.txt,technical_terms,tfda,TFDA,100.0,alias,,
260526_1057_小lin說_一口氣搞清避稅天堂的資本遊戲/transcript_260526_1057_小lin說_一口氣搞清避稅天堂的資本遊戲_final (GPT).txt,technical_terms,api,API,100.0,alias,,
260526_1057_小lin說_一口氣搞清避稅天堂的資本遊戲/transcript_260526_1057_小lin說_一口氣搞清避稅天堂的資本遊戲_final (gemini).txt,technical_terms,api,API,100.0,alias,,
